distance_m,soil_moisture_content_pct
0.00,3.880387788
0.14,5.421313991
0.28,5.332240194
0.42,5.373166397
0.56,4.3840926
0.69,4.945018804
0.83,4.525945007
0.97,4.18687121
1.11,3.757797413
1.25,3.318723616
1.39,3.919649819
1.53,4.500576022
1.67,4.121502225
1.81,5.482428428
1.94,4.103354631
2.08,3.464280834
2.22,4.345207037
2.36,4.46613324
2.50,3.847059443
2.64,4.367985646
2.78,2.798911849
2.92,3.899838052
3.06,3.910764255
3.19,3.731690458
3.33,4.432616661
3.47,4.073542864
3.61,3.294469067
3.75,4.30539527
3.89,3.346321473
4.03,4.657247677
4.17,4.28817388
4.31,3.219100083
4.44,4.140026286
4.58,3.800952489
4.72,3.131878692
4.86,4.212804895
5.00,4.763731098
5.14,4.964657301
5.28,5.425583504
5.42,6.126509707
5.56,5.61743591
5.69,3.818362113
5.83,4.219288316
5.97,4.880214519
6.11,3.541140722
6.25,4.532066925
6.39,5.622993128
6.53,4.893919331
6.67,5.644845534
6.81,5.095771737
6.94,3.55669794
7.08,4.837624143
7.22,3.808550346
7.36,3.54947655
7.50,4.230402753
7.64,3.881328956
7.78,4.512255159
7.92,4.113181362
8.06,3.744107565
8.19,3.885033768
8.33,3.415959971
8.47,3.496886174
8.61,3.947812377
8.75,3.11873858
8.89,3.969664783
9.03,3.840590986
9.17,4.451517189
9.31,4.212443392
9.44,3.953369595
9.58,3.434295798
9.72,3.155222001
9.86,3.766148204
10.00,4.117074407
10.14,4.34800061
10.28,3.888926813
10.42,3.989853016
10.56,3.960779219
10.69,3.291705423
10.83,4.042631626
10.97,2.923557829
11.11,3.354484032
11.25,3.075410235
11.39,3.576336438
11.53,4.297262641
11.67,4.538188844
11.81,3.409115047
11.94,3.86004125
12.08,4.150967453
12.22,3.901893656
12.36,4.132819859
12.50,3.233746062
12.64,3.784672265
12.78,3.615598468
12.92,3.576524671
13.06,4.287450874
13.19,4.648377077
13.33,4.58930328
13.47,4.650229483
13.61,4.571155686
13.75,3.812081889
13.89,3.803008092
14.03,4.433934296
14.17,4.134860499
14.31,4.655786702
14.44,4.406712905
14.58,4.517639108
14.72,5.288565311
14.86,4.019491514
15.00,4.870417717
15.14,4.98134392
15.28,4.692270123
15.42,4.803196326
15.56,5.084122529
15.69,4.665048732
15.83,4.985974935
15.97,4.586901138
16.11,5.447827341
16.25,5.258753544
16.39,5.389679747
16.53,6.32060595
16.67,4.471532153
16.81,4.372458356
16.94,3.793384559
17.08,3.294310762
17.22,3.705236965
17.36,2.986163168
17.50,3.267089372
17.64,3.948015575
17.78,3.208941778
17.92,3.109867981
18.06,3.010794184
18.19,3.231720387
18.33,2.76264659
18.47,3.873572793
18.61,3.924498996
18.75,4.055425199
18.89,3.796351402
19.03,3.097277605
19.17,3.368203808
19.31,3.679130011
19.44,3.200056214
19.58,3.720982417
19.72,3.64190862
19.86,3.242834823
20.00,3.213761026
20.14,3.524687229
20.28,3.125613432
20.42,3.506539635
20.56,3.687465838
20.69,2.628392041
20.83,3.819318245
20.97,3.320244448
21.11,3.681170651
21.25,3.692096854
21.39,4.073023057
21.53,3.84394926
21.67,4.244875463
21.81,3.405801666
21.94,4.256727869
22.08,3.927654072
22.22,3.568580275
22.36,4.029506478
22.50,3.660432681
22.64,3.241358884
22.78,3.432285087
22.92,3.86321129
23.06,3.174137493
23.19,3.645063696
23.33,2.705989899
23.47,2.926916102
23.61,2.817842305
23.75,2.958768508
23.89,3.339694711
24.03,3.110620914
24.17,3.611547118
24.31,3.432473321
24.44,2.843399524
24.58,2.944325727
24.72,2.86525193
24.86,3.496178133
25.00,3.077104336
25.14,2.938030539
25.28,2.528956742
25.42,2.999882945
25.56,2.810809148
25.69,2.721735351
25.83,3.112661554
25.97,2.673587757
26.11,3.21451396
26.25,3.275440163
26.39,2.566366366
26.53,2.587292569
26.67,2.688218772
26.81,2.749144975
26.94,2.840071178
27.08,3.140997381
27.22,3.441923584
27.36,3.972849787
27.50,3.883775991
27.64,3.284702194
27.78,3.915628397
27.92,3.8465546
28.06,3.457480803
28.19,3.978407006
28.33,3.789333209
28.47,3.730259412
28.61,3.981185615
28.75,3.482111818
28.89,4.183038021
29.03,4.303964224
29.17,3.924890427
29.31,4.07581663
29.44,3.376742833
29.58,2.647669036
29.72,3.398595239
29.86,2.839521442
30.00,3.050447645
30.14,3.001373848
30.28,2.692300051
30.42,3.093226254
30.56,2.954152457
30.69,2.77507866
30.83,3.166004864
30.97,3.166931067
31.11,3.03785727
31.25,3.748783473
31.39,3.389709676
31.53,3.730635879
31.67,3.251562082
31.81,3.662488285
31.94,3.293414488
32.08,3.604340691
32.22,3.295266894
32.36,3.476193097
32.50,3.2871193
32.64,2.788045503
32.78,3.368971706
32.92,3.339897909
33.06,3.100824112
33.19,3.741750315
33.33,3.382676518
33.47,3.773602721
33.61,3.644528924
33.75,3.315455127
33.89,3.50638133
34.03,4.207307533
34.17,3.568233736
34.31,3.62915994
34.44,3.930086143
34.58,4.301012346
34.72,4.771938549
34.86,3.672864752
35.00,3.783790955
35.14,4.474717158
35.28,3.595643361
35.42,4.506569564
35.56,4.447495767
35.69,3.99842197
35.83,4.589348173
35.97,4.560274376
36.11,4.131200579
36.25,3.892126782
36.39,3.853052985
36.53,4.563979188
36.67,4.404905391
36.81,4.135831594
36.94,3.736757797
37.08,4.737684
37.22,3.738610203
37.36,3.629536406
37.50,3.930462609
37.64,4.051388813
37.78,4.232315016
37.92,3.713241219
38.06,3.784167422
