,Volumetric soil moisture content (%),,,
,Lateral distance (m),,,
Longitudinal distance (m),0,15,30,
0,3.88,3.01,3.64,
0.14,5.42,3.17,4.44,
0.28,5.33,3.92,4.71,
0.42,5.37,4.68,3.91,
0.56,4.38,5.32,4.39,
0.69,4.95,6.01,3.25,
0.83,4.53,6.01,4.01,
0.97,4.19,5.15,3.76,
1.11,3.76,3.58,3.57,
1.25,3.32,3.64,3.3,
1.39,3.92,3.23,3.99,
1.53,4.5,3.07,3.85,
1.67,4.12,3.14,4.5,
1.81,5.48,3.25,4.64,
1.94,4.1,3.72,4.57,
2.08,3.46,4.02,4.88,
2.22,4.35,3.72,4.41,
2.36,4.47,3.55,4.17,
2.5,3.85,3.97,4.96,
2.64,4.37,3.68,4.46,
2.78,2.8,4.68,5.29,
2.92,3.9,4.08,4.48,
3.06,3.91,4.01,4.55,
3.19,3.73,4.14,5.57,
3.33,4.43,3.52,5.35,
3.47,4.07,3.8,5.68,
3.61,3.29,3.56,5.62,
3.75,4.31,3.44,5.35,
3.89,3.35,4.29,4.76,
4.03,4.66,3.61,5.62,
4.17,4.29,3.68,5.46,
4.31,3.22,3.99,5.22,
4.44,4.14,3.44,6.24,
4.58,3.8,4.03,5.68,
4.72,3.13,3.93,6.21,
4.86,4.21,3.97,5.88,
5,4.76,4.06,5.91,
5.14,4.96,3.33,5.29,
5.28,5.43,3.72,5.51,
5.42,6.13,3.26,4.71,
5.56,5.62,3.57,5.03,
5.69,3.82,3.97,5.62,
5.83,4.22,3.48,5.09,
5.97,4.88,3.54,5.16,
6.11,3.54,3.96,5.35,
6.25,4.53,3.35,4.3,
6.39,5.62,3.85,4.3,
6.53,4.89,3.63,4.76,
6.67,5.64,3.52,4.24,
6.81,5.1,4.23,4.28,
6.94,3.56,3.07,5.51,
7.08,4.84,3.29,4.67,
7.22,3.81,3.2,4.88,
7.36,3.55,3.21,4.24,
7.5,4.23,4.08,4.28,
7.64,3.88,3.82,4.64,
7.78,4.51,3.33,4.53,
7.92,4.11,3.75,4.62,
8.06,3.74,3.22,3.48,
8.19,3.89,3.05,4.33,
8.33,3.42,3.31,3.83,
8.47,3.5,3.2,3.59,
8.61,3.95,3.9,4.24,
8.75,3.12,3.67,3.35,
8.89,3.97,3.65,4.55,
9.03,3.84,4.14,4.22,
9.17,4.45,3.13,3.54,
9.31,4.21,3.79,3.89,
9.44,3.95,3.19,3.97,
9.58,3.43,3.5,4.05,
